"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date","sequenceID","commonName","Snow.cover","Camouflage.mismatch","Interaction_with_lure","deploy_date","interaction","delta_date","n","diff","diff_days","cam_effort","mammal"
"49","R2-W12CC2W","R2-W12CC2","R2","W12","C","C2","W","2022-04-04","60793e123652b268077ee5492ba86d4e","Red Fox",100,"Match","False","2022-03-22",0,13,1,NA,13,14,1
"50","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-03","9e21ba989705172f733cf18fbb3b9b64","Domestic Dog",100,"Mismatch","False","2022-03-22",0,12,1,NA,12,14,1
"51","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-03","b56da9f3f5cafe6f5db7043565db3e7c","Domestic Dog",100,"Mismatch","False","2022-03-22",0,12,1,0,0,14,1
"52","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-04","bf61ddf9d25b03ddd99df6126a1f0352","Domestic Dog",100,"Mismatch","False","2022-03-22",0,13,1,1,1,14,1
"53","R2-W12CC3C","R2-W12CC3","R2","W12","C","C3","C","2022-04-04","5315af0ade65b6b335c9f3be8820875e","Red Fox",100,"","False","2022-03-22",0,13,1,NA,13,14,1
"54","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-25","25adfe559c573e11c48f9a9e80dc548e","European Badger",0,"Mismatch","False","2022-03-22",0,3,1,NA,3,14,1
"55","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-25","25adfe559c573e11c48f9a9e80dc548e","European Badger",0,"Mismatch","True","2022-03-22",1,3,1,0,0,14,1
"56","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-27","b6ef9abf5f8a63abafec8eb56f3e256c","European Badger",0,"Mismatch","False","2022-03-22",0,5,1,2,2,14,1
"57","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-29","fd4bbc2087447e4fd8618169ab33b264","Hooded Crow",100,"Match","False","2022-03-22",0,7,1,2,2,14,0
"58","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-30","2717e0f6b8445ed31051d801de13a180","Hooded Crow",100,"Match","False","2022-03-22",0,8,1,1,1,14,0
"59","R2-W12OC1B","R2-W12OC1","R2","W12","O","C1","B","2022-04-03","cebc739431772c4ef5032e1056191579","Short-eared Owl",100,"Mismatch","False","2022-03-21",0,13,1,NA,13,13,0
"60","R2-W12OC1C","R2-W12OC1","R2","W12","O","C1","C","2022-04-04","22dd7e344d7c39dae8b9cad9c2bfad76","Human",NA,"","False","2022-03-21",0,14,0,NA,14,12,0
"61","R2-W12OC1W","R2-W12OC1","R2","W12","O","C1","W","2022-04-04","fcc4479abb7b02e4ea3a77709ac7ba35","Human",NA,"","False","2022-03-21",0,14,0,NA,14,12,0
"62","R2-W12OC2B","R2-W12OC2","R2","W12","O","C2","B","2022-04-04","f28e7beb80bdb89ae3bcf056ce718fec","Human",NA,"","False","2022-03-21",0,14,0,NA,14,12,0
"63","R2-W12OC2C","R2-W12OC2","R2","W12","O","C2","C","2022-04-04","12a98b7ecff6990cbf27c5c82775ebf2","Human",NA,"","False","2022-03-21",0,14,0,NA,14,14,0
"64","R2-W12OC2W","R2-W12OC2","R2","W12","O","C2","W","2022-03-29","25110ba23f316efab1e01b3818a77e12","Common Raven",100,"Match","False","2022-03-21",0,8,1,NA,8,14,0
