"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date.x","sequenceID","commonName","Snow.cover","Interaction_with_lure","interaction","delta_date","n","diff","diff_days","cam_effort","mammal","event","X","deploy_date","date.y","tot_time","down_time","Camouflage.mismatch","cxh"
"52","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-10","b4b807bd395482b5a07160c1783a9268","Hooded Crow",100,"False",0,5,1,3,3,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"53","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-12","0965b439a5459e603024146e53efc572","Hooded Crow",90,"False",0,7,1,2,2,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"54","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-13","67ff418c2dc2c12a944ff44ae081b727","Hooded Crow",80,"False",0,8,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"55","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-13","6f26400c3b1d50094af8f935482a771a","Hooded Crow",80,"False",0,8,1,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"56","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-13","f54b3e6f54679dfad70c366a9b737313","Hooded Crow",80,"False",0,8,1,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"57","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-13","f54b3e6f54679dfad70c366a9b737313","Hooded Crow",90,"False",0,8,2,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"58","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-14","45a50d5c15f1d05311d26a049667da85","Hooded Crow",80,"False",0,9,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"59","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-14","45a50d5c15f1d05311d26a049667da85","Hooded Crow",80,"True",1,9,2,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"60","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-14","d128823dc75dd921ab439413dc87fa09","Hooded Crow",70,"True",1,9,2,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"61","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-14","d128823dc75dd921ab439413dc87fa09","Hooded Crow",80,"False",0,9,1,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"62","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-15","91bf343bf6f231719a0fa476f952eca6","Hooded Crow",60,"False",0,10,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"63","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-15","d2eda22dc8f43e97e88c1843b0903fba","Hooded Crow",50,"False",0,10,1,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"64","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-16","57bc692944d7330256fda2d252f5ff2d","Hooded Crow",30,"False",0,11,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"65","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-17","0a431ccbf5f07a5c67de47d2196b317d","Hooded Crow",20,"True",1,12,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"66","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-18","2c49fb072aea444958edc4a79fdd7b75","Hooded Crow",0,"False",0,13,1,1,1,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"67","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-18","ea1b695f833752f3ba450d97120d331f","Hooded Crow",0,"False",0,13,1,0,0,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"68","R3-W14CC3W","R3-W14CC3","R3","W14","C","C3","W","2022-04-10","5de89799e6afda7271dede1afa80e52b","Hooded Crow",100,"False",0,5,1,NA,5,15,0,1,45,"2022-04-05","2022-04-20",15,0,"Match","Match C"
"69","R3-W14CC3W","R3-W14CC3","R3","W14","C","C3","W","2022-04-10","938ebc4b28fa058edeab248280432086","Red Fox",100,"False",0,5,1,0,0,15,1,1,45,"2022-04-05","2022-04-20",15,0,"Match","Match C"
"70","R3-W14CC3W","R3-W14CC3","R3","W14","C","C3","W","2022-04-10","97708b101f847a68c2242d8aef1f2058","Hooded Crow",100,"False",0,5,1,0,0,15,0,1,45,"2022-04-05","2022-04-20",15,0,"Match","Match C"
"71","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-05","06ab91f00c65c83fe192b02cf0512be6","Short-eared Owl",100,"False",0,1,1,NA,1,15,0,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"72","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-07","18114c7a404c90194bf15fa2b836a1bc","Short-eared Owl",100,"False",0,3,1,2,2,15,0,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"73","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-11","2332d58b8be70302ed7c15914006d581","Short-eared Owl",100,"False",0,7,1,4,4,15,0,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"74","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-11","7586c18c1187fadea9da62ade385d598","Short-eared Owl",100,"False",0,7,1,0,0,15,0,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"75","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-11","adb109c7a5962f7949047771925e7482","Domestic Dog",100,"True",1,7,1,0,0,15,1,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"76","R3-W14OC1B","R3-W14OC1","R3","W14","O","C1","B","2022-04-12","444544dab94f146527adf62bdcdefabe","Hooded Crow",100,"False",0,8,1,1,1,15,0,1,46,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
